,I,P,S,B,K,A
0,2.474684672932265,-4.430020593657601,1.0,-6.9047052665898665,1.0,1.0288370068246628
1,1.3677688283049159,-3.2518975870822078,1.0,-4.619666415387123,1.0,-2.70564262203018
2,0.8108324747880142,0.9963463450630934,1.0,1.1855138702750792,1.0,2.352363618005807
3,1.4826271514713283,6.789162993340641,0.0,5.306535841869312,1.0,3.452553344963605
4,2.0252136284773186,5.895530805112756,1.0,3.8703171766354374,1.0,6.937058174885447
5,-0.17451113935654433,-2.927480699535656,0.0,-2.7529695601791118,1.0,-1.118532622759289
6,1.018994990296452,0.15718583102109412,1.0,-0.8618091592753578,1.0,1.184301385357851
7,1.3942151562194343,0.7240747672776395,1.0,-0.6701403889417947,1.0,1.2374124747658257
8,1.1873386679103937,3.088609565446883,0.0,1.9012708975364894,1.0,-1.9396216168295537
9,1.7906891105908789,-0.6915642726991224,1.0,-2.482253383290001,1.0,0.6944107536592024
10,-0.19777932685850996,1.289060357993198,1.0,2.4868396848517076,1.0,1.186043946286114
11,0.5559015543490842,1.2862777115113588,1.0,2.730376157162275,1.0,1.312390936204284
12,0.06828629876512904,1.2276320879790257,1.0,1.1593457892138965,1.0,1.8345901907591573
13,1.2309814956704974,-2.0628887227384056,0.0,-3.293870218408903,1.0,1.7512745246941646
14,-0.6737163828013528,-0.30918908057122785,1.0,0.36452730223012497,1.0,0.6105890284770034
15,2.917925503325111,-0.5273147969433896,0.0,-2.4452403002685004,1.0,-1.0118459993217246
16,3.8463738621925962,7.11520707001754,1.0,3.268833207824944,1.0,1.9109461540814303
17,-0.1355446155223088,-1.8583946285904203,0.0,0.2771499869318885,1.0,0.3142721364329712
18,1.6663264727919043,2.947531193808798,1.0,2.281204721016894,1.0,0.6904960860637046
19,-1.3111773449174953,2.7782646023580555,1.0,6.08944194727555,1.0,-3.2730456096458616
20,2.895413149974459,9.223239776722963,1.0,6.327826626748504,1.0,-2.8907601351106997
21,1.0837346492260849,3.4583009225996766,1.0,3.374566273373591,1.0,3.345154889249252
22,1.4913137746884335,0.26914695164038577,1.0,0.7778331769519522,1.0,2.1051538196936237
23,2.0510320592677154,5.982354227468743,0.0,3.931322168201028,1.0,1.4309332322584918
24,2.8051835463954222,5.804587746383633,1.0,3.9994041999882106,1.0,-4.820327793018004
25,0.11324620750782012,1.9627494750455146,1.0,1.8495032675376943,1.0,0.4877135917127938
26,2.784885208272443,9.88695936113399,1.0,8.102074152861547,1.0,-1.08101560911346
27,0.5378970662796636,6.104236479349549,1.0,5.566339413069885,1.0,2.8962000796598635
28,-0.6366003828448697,4.325831635870102,1.0,5.962432018714972,1.0,-1.3298031935558967
29,2.233964433836502,2.536835353016304,1.0,0.302870919179802,1.0,1.0818507302764697
30,1.308674033379051,-1.7925213443032912,1.0,-2.101195377682342,1.0,1.272587178602273
31,0.052459350293293405,4.008448578614093,0.0,4.955989228320799,1.0,0.5004563613584234
32,0.7949708860453863,0.5782043400776256,1.0,0.7832334540322392,1.0,0.5396292313025677
33,0.9077504515171524,2.395659436232562,0.0,2.4879089847154097,1.0,5.4161342611724645
34,1.5492194026293584,8.921581681669181,0.0,8.372362279039823,1.0,8.153006959253792
35,1.0067353392266474,-1.3715753510577084,0.0,-0.3783106902843558,1.0,-0.3631633816882747
36,1.497001541621506,1.1719658179197676,0.0,-0.3250357237017383,1.0,-0.056505370537689545
37,2.009905752155233,1.8801293867116184,0.0,1.8702236345563854,1.0,-0.9009081756184723
38,1.2477136372673525,4.8389544169824505,0.0,3.591240779715098,1.0,-2.9400793014140993
39,-0.15725622827850652,-10.800353007516309,0.0,-10.643096779237803,1.0,-7.092034776523677
40,2.350333143037208,5.695416414142922,0.0,3.3450832711057146,1.0,2.6225790458195144
41,-0.2117402672361295,-1.8371163986196752,0.0,-1.6253761313835458,1.0,0.46360592679537954
42,0.23771615592736742,0.7030928259505296,0.0,0.4653766700231622,1.0,0.6432168190927223
43,3.2290078453391393,-5.069919999385041,0.0,-6.29892784472418,1.0,-4.528888547738685
44,0.1276271128704998,-5.052442879994367,0.0,-4.180069992864867,1.0,6.498039104482491
45,0.6905264684224968,1.5213546789972079,0.0,2.830828210574711,1.0,-3.0078795622016528
46,0.3806230682771172,1.1385674148252032,0.0,2.757944346548086,1.0,5.355825236961802
47,0.43094033409639165,6.610808423124305,1.0,6.179868089027913,1.0,4.725781892961061
48,1.6514686230602447,-4.32169945096831,1.0,-4.973168074028555,1.0,0.7339964838413671
49,-0.6474444638458299,8.114724061319802,1.0,10.762168525165631,1.0,0.8963267702844243
